name,date_published,citation,source,abstract
The Effect of Rib Shape on Stiffness,2016-11-00,Stapp Car Crash J. 2016 Nov;60:11-24.,https://www.ncbi.nlm.nih.gov/pubmed/27871092,"This study investigates the isolated effect of rib shape on the mechanical characteristics of ribs subjected to multiple forms of loading. It aims to measure the variation in stiffness due to shape that is seen throughout the population and, in particular, provide a tool for researchers to better understand the influence of shape on resulting stiffness. A previously published six-parameter shape model of the central axis of human ribs was used. It has been shown to accurately model the overall rib path using intrinsic geometric properties such as size, aspect ratio, and skewness, through shapes based on logarithmic spirals with high curvature continuity. In this study the model was fitted to 19,500 ribs from 989 adult female and male CT scans having demographic distributions matching the US adult population. Mechanical loading was simulated through a simplified finite element model aimed at isolating rib shape from other factors influencing mechanical response. Four loading scenarios were used representing idealized free and constrained loading conditions in axial (body-anterior) and lateral directions. Characteristic rib stiffness and maximum stress location were tracked as simulation output measures. Regression models of rib stiffness found that all shape model parameters added information when predicting stiffness under each loading condition, with their linear combination able to account for 95% of the population stiffness variation due to shape in midlevel ribs for free axial loading, and 92%-98% in other conditions. Full regression models including interactive terms explained up to 99% of population variability. Results allow researchers to better evaluate the differences in stiffness results that are obtained from physical testing by providing a framework with which to explain variation due to rib shape."
Application of analytic morphomics for belted elderly occupants in frontal crashes,2016-09-00,International Research Council on Biomechanics of Injury. 2016 Sep. Session S2-9 - Thorax Injury/Injury to the Upper Extremities&#58; IRC-16-105.,http://www.ircobi.org/wordpress/downloads/irc16/pdf-files/105.pdf,"In this study, we used analytic morphomics to understand the mechanisms of rib fracture for older occupants in frontal crashes. Analytic morphomics extracts body features from computered tomography scans of people involved in vehicle crashes who have been treated at the University of Michigan, a Level-1 trauma center. Chest injury and rib fracture patterns were examined in belted, front row occupants involved in frontal crashes from the International Center for Automotive Medicine database. Among these occupants, two age groups (younger and older) with the maximum abbreviated injury scale of chest region &#8805; 3(MAIS<sub>thx</sub>3&#43;) were categorized. The location of each rib fracture was compared between the groups. Regression analyses were conducted to investigate fracture outcomes considering risk factors including vehicle, demographics, and morphomics. The rib fractures of belted occupants were mainly located under the path of the shoulder belt. For the older group, fracture patterns tended to be located in the anterior region but also bilaterally. Moreover, morphomic factors related to rib shape are the major driver of rib fracture for the older group. The current results for rib shape can highlight the importance of considering these morphomics characteristics when assessing chest injury and creating elderly computer models."
Reference analytic morphomics population (RAMP)&#58; A reference to measure occupant variability for crash injury analysis,2016-09-00,International Research Council on Biomechanics of Injury. 2016 Sep. Session S2-4 - Accident Analysis/Vehicle Technology&#58; IRC-16-80.,http://www.ircobi.org/wordpress/downloads/irc16/pdf-files/80.pdf,"Real world crash injuries occur to a large and highly variable population. Analytic Morphomics measures very detailed geometry and material characteristics for tissues, organs, and bones throughout the body using automated processing of medical imaging scans. We analyzed 416 occupants involved in motor vehicle crashes with full crash investigation as well as medical imaging scans and found that morphomic data improved risk stratification for thoracic 3&#43; injury in both frontal and side impact crashes. We then sought to define the population distribution of the morphomic factors identified to be significantly predictive of crash injury risk to the thorax. Chest, abdomen, and pelvis CT scans were collected from 5,268 patients, aged 16 to 91 years, at the University of Michigan, who were scanned primarily for trauma indications. This curated population, named the Adult Reference Analytic Morphomics Population (RAMP), is representative of typical vehicle occupants in the United States. Customized software was used to perform automated processing of these CT scans and to store detailed body geometry and composition data in an anatomically-indexed format. Quantile regression was performed to generate curves of morphomic factors corresponding to the 5<sup>th</sup>, 25<sup>th</sup>, 50<sup>th</sup>, 75<sup>th</sup>, and 95<sup>th</sup> percentiles from ages 16-91 for both men and women respectively. This is a very detailed body composition study based on a large cohort of people."
Fat Thickness as a Risk Factor for Infection in Lumbar Spine Surgery,2016-08-30,Orthopedics. 2016 Aug 30&#58;1-5. doi&#58; 10.3928/01477447-20160819-05. [Epub ahead of print],http://www.ncbi.nlm.nih.gov/pubmed/27575036,"Body mass index does not account for body mass distribution. This study tested the hypothesis that subcutaneous fat thickness is a better indicator than body mass index of the risk of surgical site infection in lumbar spine procedures performed through a midline posterior approach. Charts were reviewed for previously identified risk factors for surgical site infection (age, diabetes, smoking, obesity, albumin level, multilevel procedures, previous surgery, and operative time) in 149 adult patients who underwent lumbar spine procedures through a midline posterior approach. Subcutaneous fat thickness was measured with a novel automated technique. Regression analysis was used to determine associations between risk factors and fat thickness with surgical site infection. In the study group, 15 surgical site infections occurred (10.1&#37;). Bivariate analysis showed a significant association between surgical site infection and body mass index (P&#61;.01), obesity (P&#61;.02), and fat thickness (P&#61;.002). With multivariate analysis, body mass index and obesity did not show significance, but fat thickness remained significant (P&#61;.026). For every 1-mm thickness of subcutaneous fat there was a 6&#37; (odds ratio, 1.06&#59; 95&#37; confidence interval, 1.02-1.10) increase in the odds of surgical site infection, and patients with fat thickness of greater than 50 mm had a 4-fold increase in the odds of surgical site infection compared with those with fat thickness of less than 50 mm. Body mass index and fat thickness were moderately correlated (r2&#61;0.44). These results confirm the hypothesis that local subcutaneous fat thickness is a better indicator than body mass index of the risk of surgical site infection in lumbar spine procedures. [Orthopedics. 201x&#59; xx(x)&#58;exxx-exxx.]."
Bone mineral density predicts posttransplant survival among hepatocellular carcinoma liver transplant recipients,2016-08-00,Liver Transpl. 2016 Aug&#59;22(8)&#58;1092-8. doi&#58; 10.1002/lt.24458. Epub 2016 Jun 29.,http://www.ncbi.nlm.nih.gov/pubmed/27064263,"Hepatocellular carcinoma (HCC) is a common indication for liver transplantation (LT). Recent data suggest that body composition features strongly affect post-LT mortality. We examined the impact of body composition on post-LT mortality in patients with HCC. Data on adult LT recipients who received Model for End-Stage Liver Disease exception for HCC between February 29, 2002, and December 31, 2013, and who had a computed tomography (CT) scan any time 6 months prior to LT were reviewed (n &#61; 118). All available CT scan Digital Imaging and Communication in Medicine files were analyzed using a semiautomated high throughput methodology with algorithms programmed in MATLAB. Analytic morphomics measurements including dorsal muscle group (DMG) area, visceral and subcutaneous fat, and bone mineral density (BMD) were taken at the bottom of the eleventh thoracic vertebral level. Thirty-two (27&#37;) patients died during the median follow-up of 4.4 years. The number of HCC lesions (hazard ratio [HR], 2.81&#59; P &#60; 0.001), BMD (HR &#61; 0.90/Hounsfield units [HU]&#59; P &#61; 0.03), pre-LT locoregional therapy (HR &#61; 0.14&#59; P &#60; 0.001), and donor age (HR &#61; 1.05&#59; P &#60; 0.001) were the independent predictors of post-LT mortality. DMG area did not affect post-LT survival. In conclusion, in addition to number of HCC lesions and pre-LT locoregional therapy, low BMD, a surrogate for bone loss rather than DMG area, was independently associated with post-LT mortality in HCC patients. Bone loss may be an early marker of deconditioning that precedes sarcopenia and may affect transplant outcomes. Liver Transplantation 22 1092-1098 2016 AASLD."
Modeling female and male rib geometry with logarithmic spirals,2016-07-28,J Biomech. 2016 Jul 28. pii&#58; S0021-9290(16)30791-6. doi&#58; 10.1016/j.jbiomech.2016.07.021. [Epub ahead of print],http://www.ncbi.nlm.nih.gov/pubmed/27497501,"In this study we present a novel six-parameter shape model of the human rib centroidal path using logarithmic spirals. It provides a reduction in parameter space from previous models of overall rib shape, while simultaneously reducing fitting error by 34&#37; and increasing curvature continuity. Furthermore, the model directly utilizes geometric properties such as rib end-to-end span, aspect ratio, rib &#34;skewness&#34;, and inner angle with the spine in its parameterization, making the effects of each parameter on overall shape intuitive and easy to visualize. The model was tested against 2197 rib geometries extracted from CT scans from a population of 100 adult females and males of uniformly distributed ages between 20 and 70. Significant size and shape differences between genders were identified, and shape model utility is demonstrated by the production of statistically average male and female rib shapes for all rib levels. Simulated mechanical loading of the resulting model rib shapes showed that the stiffness of statistically average male and female ribs matched well with the average rib stiffness from each separate population. This in-plane rib shape model can be used to characterize variation in human rib geometry seen throughout the population, including investigation of the overall changes in shape and resultant mechanical properties that ribs undergo during aging or disease progression."
Core muscle size and mortality following non-operative management of pelvic fractures,2016-06-00,The Orthopaedic Journal at Harvard Medical School. 2016 June&#59;17.,http://www.orthojournalhms.org/17/article13_17.html,"INTRODUCTION The incidence of pelvic fractures in the United States is 13 cases per 10,000 person-years, of which 94&#37; are low-energy fractures in the geriatric population. This cohort has a 20&#37; one-year mortality rate, yet there are limited data predicting post-fracture survival. Core muscle size, a proxy measure of patient frailty, may be one such variable to help risk stratify patients. METHODS We identified 405 patients undergoing non-operative management of a pelvic fracture who had a CT scan of their abdomen/pelvis within 90 days of fracture. We selected for fragility fractures by including females over 50 and males over 65, with an Injury Severity Score (ISS) less than 18. Core muscle size (cross-sectional area of the psoas muscles at L4, normalized to height) was correlated to post-fracture mortality. RESULTS One-hundred and three patients met our selection criteria (82.5&#37; female). Twenty-four patients died within one year of their diagnosis (23.3&#37;). Patients in the lower third of normalized psoas sizes had significantly higher one-year mortality rates compared to patients in the upper third (females: 39.3&#37; vs. 6.9&#37;, p &#61; 0.005&#39; males: 100.0&#37;, p &#61; 0.002). CONCLUSION In non-operatively managed pelvic fractures, our data indicate that decreased core muscle size leads to significantly higher mortality rates. Such objective measures of patient frailty may inform clinical decision-making and improve orthopaedic patient risk stratification."
Body Composition Features Predict Overall Survival in Patients With Hepatocellular Carcinoma,2016-05-26,Clin Transl Gastroenterol. 2016 May 26&#59;7&#58;e172. doi&#58; 10.1038/ctg.2016.31.,http://www.ncbi.nlm.nih.gov/pubmed/27228403,"OBJECTIVES Existing prognostic models for patients with hepatocellular carcinoma (HCC) have limitations. Analytic morphomics, a novel process to measure body composition using computational image-processing algorithms, may offer further prognostic information. The aim of this study was to develop and validate a prognostic model for HCC patients using body composition features and objective clinical information. METHODS Using computed tomography scans from a cohort of HCC patients at the VA Ann Arbor Healthcare System between January 2006 and December 2013, we developed a prognostic model using analytic morphomics and routine clinical data based on multivariate Cox regression and regularization methods. We assessed model performance using C-statistics and validated predicted survival probabilities. We validated model performance in an external cohort of HCC patients from Parkland Hospital, a safety-net health system in Dallas County. RESULTS The derivation cohort consisted of 204 HCC patients (20.1&#37; Barcelona Clinic Liver Cancer classification (BCLC) 0/A), and the validation cohort had 225 patients (22.2&#37; BCLC 0/A). The analytic morphomics model had good prognostic accuracy in the derivation cohort (C-statistic 0.80, 95&#37; confidence interval (CI) 0.71-0.89) and external validation cohort (C-statistic 0.75, 95&#37; CI 0.68-0.82). The accuracy of the analytic morphomics model was significantly higher than that of TNM and BCLC staging systems in derivation (P&#61;0.001 for both) and validation (P&#61;0.001 for both) cohorts. For calibration, mean absolute errors in predicted 1-year survival probabilities were 5.3&#37; (90&#37; quantile of 7.5&#37;) and 7.6&#37; (90&#37; quantile of 12.5&#37;) in the derivation and validation cohorts, respectively. CONCLUSION Body composition features, combined with readily available clinical data, can provide valuable prognostic information for patients with newly diagnosed HCC."
Using Analytic Morphomics to Understand Short-Term Convalescence after Radical Cystectomy,2016-04-27,Bladder Cancer. 2016 Apr 27&#59;2(2)&#58;235-240.,http://www.ncbi.nlm.nih.gov/pubmed/27376142,"BACKGROUND Data from the general surgery literature suggests that patient morphometric data obtained from preoperative imaging may help predict a patient&#39;s risk around surgery. OBJECTIVES In this context, we evaluated for associations between psoas muscle area and short-term convalescence following radical cystectomy. METHODS After identifying patients who underwent radical cystectomy at our institution (2008 to 2013), we calculated their psoas muscle area from staging computed tomography scans using established analytic morphomic techniques. We then determined early recovery among patients with high and low psoas muscle area using the validated Convalescence and Recovery Evaluation (CARE) questionnaire-a 27-item survey, divided into four domains (activity, cognitive, gastrointestinal, and pain recovery). Finally, we assessed the relationship between psoas muscle area and changes in CARE scores with nested linear regression models. RESULTS Among the 86 men and among 31 women in our cohort, the median total psoas muscle area was 2,544 mm<sup>2</sup> and 1,511 mm<sup>2</sup>, respectively (P &#60;  0.001 for the comparison). While there was no association between psoas muscle area and recovery in men, women with higher (versus lower) total psoas muscle area had smaller decreases in their pain scores postoperatively and a quicker return to their baseline level (P &#61; 0.05). Activity scores also approached baseline levels faster among women with higher psoas muscle area, although this finding did not reach statistical significance. CONCLUSIONS Psoas muscle area is potentially an important preoperative predictor of recovery for women undergoingradical cystectomy. More broadly speaking, analytic morphomics may represent a novel approach to better understand perioperative risk."
Early development of the mouse morphome,2016-04-19,"Journal of Craniofacial Surgery, 2016 Apr 19. doi&#58; 10.1097/SCS.0000000000002574.",http://www.ncbi.nlm.nih.gov/pubmed/27100641,"INTRODUCTION Analytical morphomics focuses on extracting objective and quantifiable data from clinical computered tomography (CT) scans to measure patients&#39; frailty. Studies are currently retrospective in nature&#59; therefore, it would be beneficial to develop animal models for well-controlled, prospective studies. The aim of this study is to develop an in vivo microCT protocaol for the longitudinal acquisition of whole-body images suitable for morphomic analyses of bone. METHODS The authors performed phantom studies on 2 microCT systems (Inveon and CT120) to study tissue radiodensity and further characterize system performance for collecting animal data. The authors also describe their design of a phantom-immobilization device using phantoms and an ovariectomized (OVX) mouse. RESULTS The authors discovered increased consistency along the z-axis for scans acquired on the Inveon compared with CT120, and calibration by individual slice reduces variability. Objects in the field of view had more impact on measurement acquired using the CT120 compared with the Inveon. The authors also found that using the middle 80&#37; of slices for data analysis further decreased variability, on both systems. Moreover, bone-mineral-density calibration using the QCT Pro Mini phantom improved bone-mineral-density estimates across energy spectra, which helped confirm our technique. Comparison of weekly body weights and terminal uterine mass between sham and OVX groups validated our model. DISCUSSION The authors present a refined microCT protocol to collect reliable and objective data. This data will be used to establish a platform for research animal morphomics that can be used to test hypotheses developed from clinical human morphomics."
