last_name,first_name,degree,title,headshot,bio,group
Wang,Stewart C.,"M.D., Ph.D.","Director of the Morphomic Analysis Group (MAG); Director of the International Center for Automotive Medicine (ICAM); Professor, Division of Acute Care Surgery; Director of Burn Surgery, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/stewart_wang.jpg,"Dr. Wang is the First Endowed Professor of Burn Surgery.  He received an AB in History of Science and Medicine from the Yale College before going on to complete his MD at the University of Chicago.  He also earned a PhD in Molecular Immunology at the University of Pittsburgh during his general surgical residency training.  He joined the University of Michigan faculty in 1995.  His clinical expertise is in the areas of general surgery, acute care surgery, trauma, and burns. Dr. Wang is Director of Burn Surgery at the University of Michigan's ABA-verified Burn Center and Director of the State of Michigan Burn Coordinating Center for Mass Casualty Incidents.  The UM Burn Center's injury prevention programs are internationally recognized.  Dr. Wang's basic science laboratory investigates innate immune mechanisms in injury and wound healing. He served as Associate Chairman for Research in the Department of Surgery from 2002-2007. Since 1997, Dr. Wang has hosted a monthly neutral forum in which a multidisciplinary group of medical, engineering, policy, and biomechanical experts forensically analyze real-world motor vehicle crash cases to assess injury causation mechanisms and determine potential measures to prevent such injuries in the future. As southeast Michigan is the global epicenter for automotive engineering, regular attendees of these forums include engineers from all major international automotive manufacturers as well as suppliers of automotive safety systems.  In partnership with multiple public safety agencies around Michigan and automotive manufacturers from around the world, Dr. Wang recently established the Vulnerable Road User Injury Prevention Alliance (VIPA).",faculty
Su,Grace L.,M.D. ,"Associate Director for the Morphomic Analysis Group (MAG); Director of Orgonomics; Professor of Medicine and Surgery, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/grace_su.jpg,"Dr. Su received her undergraduate degree from Yale University and her medical degree from the University of Chicago, Pritzker School of Medicine.  After completing her internal medicine residency and gastroenterology fellowship at the University of Pittsburgh in 1994, she was a faculty member until she moved to the University of Michigan.  Dr. Su also has a part time appointment at the University of Michigan affiliate, VA Ann Arbor Healthcare System, where she is the Associate Chief of Medicine for Subspecialty Care and Access as well as Chief of the Gastroenterology Section.  She is the Director of the Ann Arbor Specialty Care Access Network- Extension of Community Healthcare Outcomes (SCAN-ECHO) program, a transformational initiative which leverages technology to improve liver subspecialty care delivery within the VA healthcare system, particularly to underserved and rural areas.  In addition to her 25 years of investigating innate immune system interactions with the liver, Dr. Su has also had a long-standing research interest in non-invasive methods of assessing liver fibrosis and disease.  She has developed methods of quantitative image analysis (Analytic Morphomics) for assessing body composition and organ measurements from CT scans.  By linking the morphological data to clinical outcomes, she has developed highly accurate non-invasive methods for the diagnosis and prognosis of liver disease as well as other gastrointestinal diseases.",faculty
Englesbe,Michael,M.D.,"Associate Director for the Morphomics Analysis Group (MAG); Director of Surgical Risk Assessment; Associate Professor of Surgery, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/michael_englesbe.jpg,"Dr. Englesbe does liver transplantation on children and adults.  He has a specific clinical interest in portal hypertension. Dr. Englesbe has an active research group focused on improving the quality and efficiency of surgical care. His current work uses Analytic Morphomic techniques to assess patient risk, and then investigate ways to mitigate these risks through physical activity. He is the director of the Michigan Surgical Home and Optimization Program (MSHOP), and the Associate Director of the Michigan Surgical Quality Collaborative (MSQC). He has written numerous manuscripts on portal hypertension and portal vein thrombosis in adults and children. He has funding for his work from the National Institute of Health, The Center for Medicare and Medicaid Services, and the State of Michigan.  He directs both the Academic Surgeon Development Program and the new clinical curriculum at the University of Michigan Medical School.",faculty
Beer,David G.,Ph.D.,"Professor of Surgery, Section of Thoracic Surgery, Professor of Radiation Oncology",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/david_beer.png,"Dr. Beer received a Ph.D. in Biochemical Pharmacology from the University of Colorado at Boulder and pursued post-doctoral training at the McArdle Laboratory for Cancer Research, University of Wisconsin, Madison, WI. In 1991 he was recruited to the University of Michigan. Dr. Beer's laboratory interests are to determine the cellular and molecular events that are involved in the development and progression of human esophageal and lung cancer. By providing a greater understanding of the alterations that are associated with these diseases new insights into methods to detect these cancers early as well as identify potentially new approaches to treat patients with these cancers. We utilize the most modern and state of the art molecular technologies and approaches in our research on these diseases.",faculty
Cederna,Paul,M.D.,"Robert Oneal Professor of Plastic Surgery, Chief of the Section of Plastic Surgery, and Professor in the Department of Biomedical Engineering, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/paul_cederna.png,"By combining his clinical training in general surgery, microsurgery, and plastic surgery and background in biomedical engineering, he is able to incorporate creative solutions with technically challenging operations to solve the most difficult problems resulting from trauma, cancer, or burns. Dr. Cederna received his Bachelors of Science in Biomedical Engineering from the University of Michigan College of Engineering and his MD from the University of Michigan Medical School. Thereafter, he completed a residency in General Surgery and a fellowship in Microsurgery at the University of Iowa Hospitals and Clinics. He then returned to Ann Arbor, Michigan where he completed his Plastic Surgery Fellowship training at the University of Michigan Health System. He then completed two additional years of basic science research training as a postdoctoral research fellow within the Muscle Mechanics Lab of the at the University of Michigan. He has since joined the faculty at the University of Michigan where he has been a full time academic surgeon since 1999.",faculty
Chang,Andrew,M.D.,"John Alexander Distinguished Professor; Associate Professor & Head, Section of Thoracic Surgery, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/andrew_chang.png,"Andrew C. Chang, M.D., is the John Alexander Distinguished Professor, Head of the Section of Thoracic Surgery at the University of Michigan. After completing his undergraduate education at the Massachusetts Institute of Technology and medical education at The Johns Hopkins University he pursued general surgical residency at Vanderbilt University. During this time he also obtained an individual National Research Service Award from the National Institutes of Health to study cardiothoracic transplantation with Richard N. Pierson, III, M.D. He then continued as a thoracic surgical resident and subsequently thoracic surgical fellow at the University of Michigan, completing these in 2003, before joining the faculty. His clinical interests encompass all aspects of general thoracic surgery including thoracic oncology, pulmonary transplantation, minimally-invasive surgery and interventional endoscopy. His research focus includes thoracic oncology, particularly studying the tumorigenesis of esophageal cancer, as well as studying patient-related outcomes following thoracic operations.",faculty
Cherry-Bukowiec,Jill,M.D.,"Assistant Professor of Surgery, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/jill_cherry.png,"Dr. Cherry-Bukowiec received her undergraduate degree from Miami University in Oxford Ohio and her medical degree from the University of Toledo. She completed her general surgery training at Eastern Virginia Medical School and went on to complete her clinical training in Acute Care Surgery and Surgical Critical Care, as well as obtained a master's degree in Clinical Research Design and Statistical Analysis, at the University of Michigan. She received her fellowship training in nutrition as a Nestle Enteral Nutrition Fellowship recipient. Dr. Cherry-Bukowiec is board certified in General Surgery, Surgical Critical Care, and in Nutrition by the National Board of Physician Nutrition Specialists. Dr. Cherry's clinical interests focus on Surgical Critical Care, Trauma, Non-Trauma Emergency and General Surgery. She is the Medical Director of the University of Michigan Trauma Burn ICU and provides surgical care for injured patients and patients with acute general surgery problems. She has a special interest in patients with severe infection and sepsis, and challenging nutrition problems. Dr. Cherry has a strong interest in clinical nutrition. She was a recipient of the Nestle Nutrition Institute Enteral Nutrition Fellowship. She serves on the National Board for Nutrition Physician Specialists representing the Society of Critical Care Medicine (SCCM). She is a Past-President of the Michigan Society for Parenteral and Enteral Nutrition and currently serves on the society's physician director. She is the founder of the Nutrition Advisory Committee for the University of Michigan Hospital and a currently acts as physician advisor for the committee. Dr. Cherry also has a strong interest in teaching medical students and residents. She is the Education Coordinator for the Division of Acute Care Surgery and Doctoring Faculty for the Medical School Doctoring Course. She is also the faculty lead for the new University of Michigan medical student curriculum M1 nutrition sequence.",faculty
Choi,Sung Won,M.D.,"Assistant Professor, Pediatrics, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/sung_won_choi.png,"Dr. Choi received her undergraduate degree from the University of Michigan and her medical degree from Wayne State University. She subsequently completed her training in Pediatrics at New York University followed by fellowship training in Pediatric Hematology Oncology at the University of Michigan. She is board certified in Pediatric Hematology Oncology and is faculty within the Blood and Marrow Transplantation Program at the University of Michigan. The major focus of her scholarly activity is in gaining new knowledge about clinical outcomes of patients undergoing hematopoietic cell transplantation (HCT), and leveraging innovative tools and techniques that could lead to safe health care and improved outcomes. Her clinical and research interests are in allogeneic HCT, particularly in the prevention of acute graft-versus-host disease (GVHD), a major complication that limits the more widespread application of allogeneic HCT.",faculty
Ehrlich,Peter F.,M.D.,"Associate Professor, Pediatric Surgery, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/peter_ehrlich.png,"Dr. Ehrlich earned his medical degree from University of Toronto Faculty of Medicine. He completed his General Surgery residency at the University of Toronto. In addition he completed a Master of Science in Molecular Pathology form the Institute of Medical Sciences at the University of Toronto. He also completed a fellowship in Pediatric Surgery at Children's National Medical Center in Washington DC. After he completed his fellowship, Dr. Ehrlich spent 5 years at West Virginia University Children Hospital as the director of pediatric surgery. He came to Ann Arbor in 2003 and currently is an Associate Professor of Surgery. Dr Ehrlich's research focus on cancer and trauma in children.",faculty
Ejima,Susumu,Ph.D.,"Research Associate Professor, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/susumu_ejima.png,"He completed his doctorate in computational mechanics at Seikei University in Japan in 1997 and took post-doctoral fellowship from mechanical engineering at the UM from 1997 to 1998. Before joining UM as a faculty member, he has led Impact Biomechanics for 13 years and served as lead Principle Investigator of the development of the computer human model and oversee volunteer testing for studying crash safety at the Japan Automobile Research Institute. He served as group manager of crash safety from 2009 to 2014 during the realignment of the department's research portfolio for the future safety roadmap. He attempted to provide a role model for ""Integrated Safety"" vision by generating three research topics: the pre-crash, the crash, and the post-crash in the automobile traffic accidents. His research targets the study of biomechanics and the application of CAE (Computer Aided Engineering) to enhance understanding of injury mechanisms in motor vehicle crashes with real-world crash cases.",faculty
